text,label,sa,llama-3.3-70b-versatile,llama3-70b-8192,gemma2-9b-it,gpt-3.5-turbo,gpt-4o
"My mom is always crabby during the holidays , as if they aren't hard enough without her extra stress
",0,1,1,1,1,1,1
"8 o'clock game ? Oh .... Great ....
",0,0,1,1,1,1,1
"Music can instantly change the mood and set a tone .
",1,1,0,0,0,0,0
"back 2 work tomar
",0,0,0,0,1,1,1
"That really terrible moment when you can't find clothes you want and realize they're at school ...
",0,1,1,1,1,1,1
"Who needs a boyfriend when you have hockey
",1,1,0,0,0,0,0
"Thought I didn't have to be back to work until Monday , get online to look at my schedule next week & find out I work tomorrow ! #thefuck
",0,1,1,1,1,1,1
"Im still not used to wake up early
",0,1,1,1,1,1,1
"IRRELEVANT bitches .
",0,0,1,1,1,1,1
"Well you don't look desperate at all
",1,1,1,1,0,1,1
" I don't know drake said it
",1,0,0,0,0,0,1
"Whereeeeeee is my advisor ? Not in his office hours
",0,1,1,1,1,1,1
"Planning my mom's wedding >>>
",1,1,0,0,0,0,0
"I love my fuzzy socks they feel like heaven on my feet .
",1,1,0,0,0,0,0
" * clears throat OF COURSE WE MISSED YOU !
",1,0,0,0,0,0,0
" just bc I'm getting it don't mean I can drive it ! Lol I'm still suspended â
",0,1,1,0,0,1,1
" I didn't even comment on your photo you dumbass !
",1,1,1,1,1,1,1
"trez and mcdaniel are such nerds
",1,1,1,1,1,1,1
"Bitch Mad Cause Im Fucking Her Nigga
",1,0,1,1,1,1,1
"Your Getting on My nerves extremely bad tonight
",0,1,1,1,1,1,1
" Yo Momma University
",0,0,1,0,1,0,0
"I got caught in the rainstorm .... least I'm natural tho lol
",0,0,0,0,0,1,1
"Im that person !
",0,1,0,0,0,0,0
" good job bby girl
",1,1,0,0,0,0,0
"Reminiscing Like Shit About 9th Grade
",1,0,1,1,1,1,1
"I'm mad now ! Dammit ! Shit !
",0,0,1,1,1,1,1
"Looka nene bra \don't b no fool YunG nigga """"
",1,0,1,1,1,1,1
"Not ready for summer to be over
",0,1,0,1,1,1,1
"I'm so comfy right nooooooww
",1,1,0,0,0,0,0
" clearly  doesn't keep him satisfied if he's been trying to talk to other girls including 
",1,1,1,1,1,1,1
"  not that I know of so far . He may not even be able to come home to fly me out to where we will be stationed
",0,1,1,1,1,1,1
"About To Be EXTREMELY Careful ' OMGGGG The Thought Of Something Happening To My Son Bring TEARS To My Eyess '
",0,0,1,1,1,1,1
"These niggas is fucking holding like ref where the fuckin flag
",0,0,1,1,1,1,1
" Lol I got chu my guhh ! It will be jus for you ..
",1,0,0,0,0,0,0
"Markel's gonna tell on me
",0,1,1,1,1,1,1
" oh that's sum bullshit , , y'all niggas
",1,0,1,1,1,1,1
" I'm sweating .
",0,1,1,1,1,1,0
"Devil May Cry is ok , could be better but I'm only on the first level
",1,1,1,1,0,0,1
"#christian yadao has a girl friend omg my brother ...
",0,1,0,0,0,0,1
"Back to cloud I go ..... #notexcited
",0,1,1,1,1,1,1
"Jus A Bunch Of Peonsâï¸
",1,0,1,1,1,1,1
"Shanera dunked that bitch and broke the rim that's some Squaaad shit
",0,0,0,0,0,1,0
" no dead ass son who ??
",1,0,1,1,1,1,1
"Gah damnnn . It's cold AF in Pittsburgh ! I miss South Carolina lol
",0,1,1,1,1,1,1
"goodmorning sexy ppl
",1,0,0,0,0,0,0
"I love treating myself  the salon
",1,1,0,0,0,0,0
" Lawrence , Kansas COME DOWN , #YikeorDie
",1,1,0,0,1,1,0
"Family be your First Friends âBut sometimes turn into your Enemies Quicker than Friends Do
",0,0,1,1,1,1,1
"Going to throw my phone out a window . #pieceofcrap
",0,1,1,1,1,1,1
"So sad my co-worker has decided to leave
",0,1,1,1,1,1,1
"Love spending time with my boys !!! Wish I could show them off to all my college friends . Proud of both of them !!!
",1,1,0,0,0,0,0
" I don't want any of you guys to graduate because I like love you all and I'm so mad I just now had to meet all you guys
",0,1,0,0,0,0,0
" lmao !! World war 4 in bish
",1,1,0,0,1,1,1
"but chea tonight one of thoose LOSSES so .... fr ! goodnight .
",0,0,1,1,1,1,1
" ~ Im Confucius ! The Boot says you are to Host ... American Country Countdown .... Huh ?!?!?!?!?!
",1,1,0,1,1,1,1
"zuri bouta set the house on fire
",0,0,1,1,0,1,1
"Don't leave algebra till 1:01
",0,0,0,0,1,0,0
"Powers out & my dad still goes to turn the outside lights on when he goes to get wood .. And s . o . s's to the plow trucks with the flashlight
",0,1,0,0,1,1,1
"He told me to get off twitter
",0,0,1,1,1,1,1
"Like I'm really mad
",0,0,1,1,1,1,1
"I cried . Because I couldn't see  in my city , MINNEAPOLIS Come back soon <3
",0,1,1,1,1,1,0
" not me , I was just sayin
",1,1,0,0,0,1,1
"Just got the courage to watch the RSL highlights just now ... Man , so tough
",0,1,1,1,1,1,1
"I miss my pooh 
",0,0,1,0,1,1,1
" don't mess with an angry Brittany
",0,1,1,1,1,1,1
"Finally cleaning my room
",1,0,0,0,0,0,0
" took you allday
",0,0,1,1,1,1,1
" your fine
",1,1,0,0,0,0,0
"I want to go boating . Or be on the lake .
",0,1,0,0,0,0,0
"Kinda okay with tonight being the season finale of #PLL . I don't think I can handle the stress . #solost
",0,1,1,1,1,1,1
" got u
",1,0,0,0,0,0,0
"My feet are achingggggg did a lot a lot a lot of walking today
",0,1,1,1,1,1,1
"GoodMorning Tweeps : )
",1,0,0,0,0,0,0
" ay I was a sexy baby with my shower cap
",0,0,0,0,0,0,0
"I got 6 jays left
",1,0,0,0,0,1,0
"I think he went to sleep on me
",0,0,1,1,1,1,1
"  Nobody
",0,0,0,0,1,1,1
"â  :  take a bangin pic wit it flex â I gotta get a pic by the beach water wit em on
",1,0,0,0,0,0,0
"She got a fat booty : ) . I like
",1,0,0,0,1,0,0
"Lmaooooo everything I think about it u get scared all over Again
",0,0,0,0,0,1,1
"Bitch always laughing at some shit
",1,0,1,1,1,1,1
" dont do it they will make me cut mine too
",1,0,1,1,1,1,1
"Instead of eating out
",0,1,0,0,0,0,1
"in my dream last night I was just like I DON'T MIND SPENDING EVERY DAYYY OUT ON YOUR CORNER IN THE POURIN RAIIIINNNNNâ
",1,1,0,0,1,1,0
"Jesus love me
",1,0,0,0,0,0,0
" I seriously went and sat in my car for a good 20 minutes to warm up #ohthestrugggg
",0,1,1,1,1,1,1
"My baby got her first bracelet w/ her name engraved on it
",1,0,0,0,0,0,0
"As I am being attacked by a bee this lady goes hat's what you get for being so sweet "" ""
",0,1,1,0,1,1,1
" my stick . lol
",0,1,0,0,0,0,0
" , yuh TF erking
",1,0,1,1,1,1,1
", ion like that shit
",0,0,1,1,1,1,1
"really impressed with the campus
",1,1,0,0,0,0,0
" lmao I love you
",1,1,0,0,0,0,0
"I really need to go get my nails redone
",1,1,0,0,1,0,0
"Works blows tonight . â
",0,1,1,1,1,1,1
" rockwood summit ?!
",1,1,0,0,1,1,1
"I'm so sleepy though
",0,0,1,1,1,1,1
" He Not Funny
",0,0,1,1,1,1,1
"I Miss Baee
",1,0,1,0,1,1,1
" yes ma'am
",1,1,0,0,0,0,0
"I love how empty the gym is on Sundays
",1,1,0,0,0,0,0
"The call I just got >> I miss him so much
",1,1,1,1,1,1,1
" over what ? Thats you not me
",1,0,1,1,1,1,1
"- one day he gone say the wrong thing &' I'm gone SMACK the shit out of him he AGGGGGGGY
",0,0,1,1,1,1,1
"She just lied to herself , yu a nice little bitch but yu ain't all tht Forreal just a pretty face and fat ass , bitches stay piping they self
",0,0,1,1,1,1,1
"â  :  GET YOUR LIFE ! â
",0,0,0,0,1,1,0
"she fell asleep on me #prieT
",0,0,1,0,0,1,0
"What shitty weather we have tomorrow
",1,1,1,1,1,1,1
"I HATE 
",0,1,1,1,1,1,1
" YOUR REALLY #50 ?
",1,0,1,1,1,1,1
" lol well idk why it got shit to do with me
",1,0,1,1,1,1,1
" what ?
",0,1,1,0,1,1,1
"#WCW  owweeeeeeeeee heyyyyyyyyy baeeeeeee â¨â¨â¤
",1,0,0,0,0,0,0
"Coach T a fool .
",1,0,1,1,1,1,1
"I find that I'm more angry than not with you , and that's disappointing .
",0,1,1,1,1,1,1
" Ohhh yea that's what I thought hoe
",1,0,1,1,1,1,1
"Miyabi never fails to be an excellent meal .
",1,1,0,0,0,0,0
"* He can't come w/ me though <<<
",0,0,1,1,1,1,1
"â  : Game night w/ my Bae was too funny ... We kicked up in taboo !!! âºâ y'all ain't kick up it was 1-1 lol
",1,0,0,0,0,0,0
": hate black forreal
",0,0,1,1,1,1,1
"Waiting on this chicken and white sauce to get done feels like a lifetime .
",0,1,1,1,1,1,1
"Get off my dick
",0,0,1,1,1,1,1
" whhhhaaaaatt ??
",0,0,1,0,1,1,1
"Who said that ? And that ain't even my name no more
",1,0,1,1,1,1,1
"My last tweet is not gay , she just played on my dude tho .
",0,0,1,1,1,1,1
"& I pray we don't have school Tomorrow ... I'm not getting any sleep tonight
",0,1,1,1,1,1,1
" yes but I only have 7:45 two times a week #earlyclass
",0,1,1,1,1,0,1
"These girls will fuck with every nigga you know then still claim they faithful âï¸
",0,0,1,1,1,1,1
"This nigga bout that #rawlife #dead
",1,0,1,1,0,1,1
"Finally Getting Out The House Huh , O .
",1,0,0,0,0,0,0
"wwe was much better back in the day . The Hardy Boys , Dudley Boyz , and of course Trish Status
",1,1,0,0,0,0,1
"Omg The Babe Got Me Rollin Laughing I Cant Even
",1,1,0,0,0,0,0
" one more year shelb
",0,1,0,0,0,1,0
"This bitch asked me was 71st in west
",1,0,1,1,1,1,1
"The fact that my mom got me a Pitt hoodie and didn't realize it said panthers on the sleeve is a testament to how bad her eye sight is â¤ï¸
",1,1,0,0,1,1,0
"I think ryin like Chelsea CTFUU but Chelsea not gay iont think ?
",1,0,0,1,1,0,1
"Taco bell date with my love  so nice to have time and talks like that
",1,1,0,0,0,0,0
"Retarded ass junkie pissin me off
",0,1,1,1,1,1,1
" This = My life #thankyou #toofunny
",1,1,0,0,0,0,0
" we cool though , u my nigha
",0,0,0,0,0,0,0
"I miss 
",0,1,1,1,1,1,1
"next you work at mcdonalds give me my food & shut the fuck up
",1,0,1,1,1,1,1
"i miss my baby his sexyy asss uhh
",0,0,0,0,0,1,0
"I was in such a good mood until u wouldn't talk to me ..
",0,1,1,1,1,1,1
"Somebody needa wake dey ass up
",1,0,1,1,1,1,1
"Thanks broâ  : I'm convinced joe going to be a preacher , joe had the whole church live today I'm proud of that young manâ
",1,0,0,0,0,0,0
" Avi >>>
",1,0,0,0,0,0,1
"I can't wait to crack open my jÃ¤ger tomorrow
",1,1,0,0,0,0,0
"Im hungry i dont feel like walking to mcdonalds
",0,0,1,1,1,1,1
"My boyfriends family is so cute I wish I wasn't working so I could hang out with them .
",0,1,0,0,0,0,0
"He only doing all that shit cause he feel guilty .. He know what the fuck he did .. Hmm we both know
",0,0,1,1,1,1,1
" he blocked me cause I blocked him he not about that life he know I got my old heads on deck with the burners lmao
",1,0,1,1,0,1,1
"â  : I want some corn starch badâ you just like ya mom .
",1,0,1,0,1,1,1
"  you're ordering from the filler menu
",0,1,1,1,1,1,1
